INFO:2021-04-01 00:49:09.5490:ConnectionTest.Program.Main:Testing Connection
DEBUG:2021-04-01 00:49:10.1354:ConnectionTest.Program.Main(Program.cs:16):Connected
DEBUG:2021-04-01 00:49:10.1500:ConnectionTest.Program.Main(Program.cs:18):Question 1:
DEBUG:2021-04-01 00:49:12.2796:ConnectionTest.Program.Main(Program.cs:18):Flight: 725afa4, Row: 1, Alt: 8985.8
DEBUG:2021-04-01 00:49:12.2796:ConnectionTest.Program.Main(Program.cs:18):Flight: 725b576, Row: 1, Alt: 8712.5
DEBUG:2021-04-01 00:49:12.2796:ConnectionTest.Program.Main(Program.cs:18):Flight: 725c173, Row: 1, Alt: 643.5483870967741
DEBUG:2021-04-01 00:49:12.3153:ConnectionTest.Program.Main(Program.cs:18):Flight: 725ccf5, Row: 1, Alt: 1770.8857142857144
DEBUG:2021-04-01 00:49:12.3323:ConnectionTest.Program.Main(Program.cs:18):Flight: 725d411, Row: 1, Alt: 10133.333333333334
DEBUG:2021-04-01 00:49:12.3596:ConnectionTest.Program.Main(Program.cs:18):Flight: 725ea03, Row: 1, Alt: 1238.7323943661972
DEBUG:2021-04-01 00:49:12.3596:ConnectionTest.Program.Main(Program.cs:18):Flight: 725eab6, Row: 1, Alt: 9780.56
DEBUG:2021-04-01 00:49:12.3754:ConnectionTest.Program.Main(Program.cs:18):Flight: 725fda3, Row: 1, Alt: 20228.898734177215
DEBUG:2021-04-01 00:49:12.3754:ConnectionTest.Program.Main(Program.cs:18):Flight: 7260c55, Row: 1, Alt: 11406.243243243243
DEBUG:2021-04-01 00:49:12.3906:ConnectionTest.Program.Main(Program.cs:18):Flight: 7260eca, Row: 1, Alt: 8896.793103448275
DEBUG:2021-04-01 00:49:12.3906:ConnectionTest.Program.Main(Program.cs:18):Flight: 7262288, Row: 1, Alt: 2657.9924812030076
DEBUG:2021-04-01 00:49:12.3906:ConnectionTest.Program.Main(Program.cs:18):Flight: 72623d7, Row: 1, Alt: 2022.7727272727273
DEBUG:2021-04-01 00:49:12.3906:ConnectionTest.Program.Main(Program.cs:18):Flight: 7262c8e, Row: 1, Alt: 7156.305343511451
DEBUG:2021-04-01 00:49:12.4059:ConnectionTest.Program.Main(Program.cs:18):Flight: 7262d25, Row: 1, Alt: 8932.414634146342
DEBUG:2021-04-01 00:49:12.4059:ConnectionTest.Program.Main(Program.cs:18):Flight: 7262d39, Row: 1, Alt: 700
DEBUG:2021-04-01 00:49:12.4344:ConnectionTest.Program.Main(Program.cs:18):Flight: 72632dd, Row: 1, Alt: 2966.970588235294
DEBUG:2021-04-01 00:49:12.4375:ConnectionTest.Program.Main(Program.cs:18):Flight: 72635f3, Row: 1, Alt: 12966.21186440678
DEBUG:2021-04-01 00:49:12.4547:ConnectionTest.Program.Main(Program.cs:18):Flight: 7263dc0, Row: 1, Alt: 3278.3571428571427
DEBUG:2021-04-01 00:49:12.4547:ConnectionTest.Program.Main(Program.cs:18):Flight: 7264035, Row: 1, Alt: 3499
DEBUG:2021-04-01 00:49:12.4705:ConnectionTest.Program.Main(Program.cs:18):Flight: 7264492, Row: 1, Alt: 1441.5555555555557
DEBUG:2021-04-01 00:49:12.4705:ConnectionTest.Program.Main(Program.cs:18):Flight: 7264b0e, Row: 1, Alt: 3879.8
DEBUG:2021-04-01 00:49:12.4877:ConnectionTest.Program.Main(Program.cs:18):Flight: 7264b3d, Row: 1, Alt: 3716.5
DEBUG:2021-04-01 00:49:12.5018:ConnectionTest.Program.Main(Program.cs:18):Flight: 7265c60, Row: 1, Alt: 9623.70588235294
DEBUG:2021-04-01 00:49:12.5018:ConnectionTest.Program.Main(Program.cs:18):Flight: 7265f06, Row: 1, Alt: 7370.232081911263
DEBUG:2021-04-01 00:49:12.5018:ConnectionTest.Program.Main(Program.cs:18):Flight: 7265fc1, Row: 1, Alt: 5829.8
DEBUG:2021-04-01 00:49:12.5136:ConnectionTest.Program.Main(Program.cs:18):Flight: 72660d6, Row: 1, Alt: 8242.742702702702
DEBUG:2021-04-01 00:49:12.5136:ConnectionTest.Program.Main(Program.cs:18):Flight: 72666ad, Row: 1, Alt: 798.0978260869565
DEBUG:2021-04-01 00:49:12.5136:ConnectionTest.Program.Main(Program.cs:18):Flight: 7266765, Row: 1, Alt: 4884.775590551181
DEBUG:2021-04-01 00:49:12.5136:ConnectionTest.Program.Main(Program.cs:18):Flight: 7267060, Row: 1, Alt: 12034.203703703704
DEBUG:2021-04-01 00:49:12.5403:ConnectionTest.Program.Main(Program.cs:18):Flight: 72686ac, Row: 1, Alt: 3516.6666666666665
DEBUG:2021-04-01 00:49:12.5403:ConnectionTest.Program.Main(Program.cs:18):Flight: 72695c2, Row: 1, Alt: 3424.03125
DEBUG:2021-04-01 00:49:12.6084:ConnectionTest.Program.Main(Program.cs:18):Flight: 726ba1e, Row: 1, Alt: 2267
DEBUG:2021-04-01 00:49:12.6825:ConnectionTest.Program.Main(Program.cs:18):Flight: 726bc89, Row: 1, Alt: 17036.958333333332
DEBUG:2021-04-01 00:49:12.6990:ConnectionTest.Program.Main(Program.cs:18):Flight: 726c051, Row: 1, Alt: 4442.803278688524
DEBUG:2021-04-01 00:49:12.7254:ConnectionTest.Program.Main(Program.cs:18):Flight: 726c0c5, Row: 1, Alt: 3476.6071428571427
DEBUG:2021-04-01 00:49:12.7254:ConnectionTest.Program.Main(Program.cs:18):Flight: 726c1f9, Row: 1, Alt: 6846.666666666667
DEBUG:2021-04-01 00:49:12.7562:ConnectionTest.Program.Main(Program.cs:18):Flight: 726c7be, Row: 1, Alt: 1657
DEBUG:2021-04-01 00:49:12.7562:ConnectionTest.Program.Main(Program.cs:18):Flight: 726cbfc, Row: 1, Alt: 1603.8461538461538
DEBUG:2021-04-01 00:49:12.8039:ConnectionTest.Program.Main(Program.cs:18):Flight: 726d2e0, Row: 1, Alt: 1741.5238095238096
DEBUG:2021-04-01 00:49:12.8243:ConnectionTest.Program.Main(Program.cs:18):Flight: 726edcd, Row: 1, Alt: 7168.04255319149
DEBUG:2021-04-01 00:49:12.8399:ConnectionTest.Program.Main(Program.cs:18):Flight: 726ee4e, Row: 1, Alt: 1600
DEBUG:2021-04-01 00:49:12.8443:ConnectionTest.Program.Main(Program.cs:18):Flight: 726f5ed, Row: 1, Alt: 999.8
DEBUG:2021-04-01 00:49:12.8632:ConnectionTest.Program.Main(Program.cs:18):Flight: 7270823, Row: 1, Alt: 4426.0125
DEBUG:2021-04-01 00:49:12.8746:ConnectionTest.Program.Main(Program.cs:18):Flight: 72709f0, Row: 1, Alt: 17141.727272727272
DEBUG:2021-04-01 00:49:12.8746:ConnectionTest.Program.Main(Program.cs:18):Flight: 7272008, Row: 1, Alt: 4100
DEBUG:2021-04-01 00:49:12.8908:ConnectionTest.Program.Main(Program.cs:18):Flight: 72731ae, Row: 1, Alt: 5490.909090909091
DEBUG:2021-04-01 00:49:12.8908:ConnectionTest.Program.Main(Program.cs:18):Flight: 727329e, Row: 1, Alt: 3599.75
DEBUG:2021-04-01 00:49:12.9069:ConnectionTest.Program.Main(Program.cs:18):Flight: 72743ad, Row: 1, Alt: 5333.333333333333
DEBUG:2021-04-01 00:49:12.9069:ConnectionTest.Program.Main(Program.cs:18):Flight: 7276623, Row: 1, Alt: 5996.2
DEBUG:2021-04-01 00:49:12.9226:ConnectionTest.Program.Main(Program.cs:18):Flight: 72773c7, Row: 1, Alt: 4300
DEBUG:2021-04-01 00:49:12.9226:ConnectionTest.Program.Main(Program.cs:18):Flight: 727763c, Row: 1, Alt: 6495.982758620689
DEBUG:2021-04-01 00:49:12.9397:ConnectionTest.Program.Main(Program.cs:18):Flight: 7279eac, Row: 1, Alt: 2533.3333333333335
DEBUG:2021-04-01 00:49:12.9397:ConnectionTest.Program.Main(Program.cs:18):Flight: 727bb3c, Row: 1, Alt: 3122.233333333333
DEBUG:2021-04-01 00:49:12.9587:ConnectionTest.Program.Main(Program.cs:18):Flight: 727fd00, Row: 1, Alt: 5309.307971014493
DEBUG:2021-04-01 00:49:12.9587:ConnectionTest.Program.Main(Program.cs:18):Flight: 7281960, Row: 1, Alt: 3493.4220779220777
DEBUG:2021-04-01 00:49:12.9759:ConnectionTest.Program.Main(Program.cs:18):Flight: 7283fdb, Row: 1, Alt: 7089.83039348711
